13:24:57.751391 config: drop-rate=0.00, max-delay=0s, seed=1
18:16:42.040214 [queue=7] packet #186378077, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.042211 [queue=5] packet #186378075, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.042211 [queue=5] packet #186378078, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.043211 [queue=5] packet #186378084, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 5.6ms
18:16:42.043211 [queue=5] packet #186378081, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.045209 [queue=6] packet #186378085, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 3.1ms
18:16:42.046209 [queue=5] packet #186378079, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.046209 [queue=6] packet #186378086, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 2.6ms
18:16:42.047208 [queue=7] packet #186378087, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 9ms
18:16:42.047208 [queue=8] packet #186378088, 127.0.0.1:83 -> 127.0.0.1:54885, sz=551 is delayed for 6.3ms
18:16:42.048207 [queue=5] packet #186378080, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.048207 [queue=5] packet #186378083, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.048207 [queue=5] packet #186378076, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.048207 [queue=6] packet #186378075, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delayed for 4.7ms
18:16:42.050207 [queue=7] packet #186378076, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delayed for 2.4ms
18:16:42.051205 [queue=7] packet #186378076, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delayed for 5.3ms
18:16:42.051205 [queue=7] packet #186378085, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.051205 [queue=6] packet #186378086, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.052212 [queue=5] packet #186378084, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.055215 [queue=2] packet #186378076, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delivered
18:16:42.055215 [queue=2] packet #186378088, 127.0.0.1:83 -> 127.0.0.1:54885, sz=551 is delivered
18:16:42.055215 [queue=2] packet #186378075, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delivered
18:16:42.058202 [queue=1] packet #186378087, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delivered
18:16:42.060202 [queue=2] packet #186378076, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delayed for 2.1ms
18:16:42.065197 [queue=1] packet #186378076, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delivered
18:16:42.066197 [queue=2] packet #186378076, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delayed for 9.9ms
18:16:42.070203 [queue=1] packet #186378076, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delivered
18:16:42.073201 [queue=2] packet #186378076, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delayed for 500µs
18:16:42.076191 [queue=3] packet #186378082, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delayed for 3.8ms
18:16:42.076191 [queue=4] packet #186378076, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 5.5ms
18:16:42.076191 [queue=5] packet #186378082, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delayed for 1ms
18:16:42.077192 [queue=4] packet #186378076, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delivered
